Tiempo,Agujero,calidad,Tiempo proceso
2024-07-03 19:24:03.703736,3,1,0.8775758743286133
2024-07-03 19:24:08.929401,4,1,0.8478648662567139
2024-07-03 19:24:14.045293,5,1,0.840033769607544
2024-07-03 19:24:19.241575,6,1,0.8910436630249023
2024-07-03 19:24:24.346377,7,1,0.816016435623169
2024-07-03 19:24:29.334376,8,2,0.8643105030059814
2024-07-03 19:24:34.519612,9,1,0.8274614810943604
2024-07-03 19:24:39.614233,10,1,0.8452401161193848
2024-07-03 19:24:44.876395,11,3,0.9579167366027832
2024-07-03 19:24:59.264257,12,1,0.8100876808166504
2024-07-03 19:25:04.348118,13,1,0.837022066116333
2024-07-03 19:25:09.561615,14,1,0.8412494659423828
2024-07-03 19:25:14.759441,15,2,0.8835890293121338
2024-07-03 19:25:19.942717,16,1,0.7720422744750977
2024-07-03 19:25:24.907487,17,1,0.7897355556488037
2024-07-03 19:25:30.060733,18,1,0.8778362274169922
2024-07-03 19:25:35.213210,19,1,0.842808723449707
2024-07-03 19:25:40.459519,20,1,0.8881385326385498
2024-07-03 19:25:45.640883,21,1,0.8157532215118408
2024-07-03 19:25:50.738449,22,3,0.8402061462402344
2024-07-03 19:26:05.102608,23,3,0.8047435283660889
2024-07-03 19:26:19.563247,24,2,0.9130470752716064
2024-07-03 19:26:24.647721,25,2,0.8254010677337646
2024-07-03 19:26:29.740255,26,2,0.8419978618621826
2024-07-03 19:26:34.853900,27,3,0.8818387985229492
2024-07-03 19:26:49.298263,28,2,0.8516402244567871
2024-07-03 19:26:54.527070,29,3,0.8257770538330078
2024-07-03 19:27:08.952795,30,3,0.8902974128723145
2024-07-03 19:27:23.330715,31,1,0.8459868431091309
2024-07-03 19:27:28.414953,32,3,0.8258788585662842
2024-07-03 19:27:42.859187,33,3,0.8750665187835693
2024-07-03 19:28:46.802975,34,3,0.9445710182189941
2024-07-03 19:29:01.234587,35,3,0.9128098487854004
2024-07-03 19:29:15.634247,36,3,0.8587231636047363
2024-07-03 19:30:27.547119,37,2,0.9292302131652832
2024-07-03 19:30:32.817776,38,3,0.9553835391998291
2024-07-03 19:30:47.255914,39,0,0.8901245594024658
2024-07-03 19:30:53.708130,40,2,0.8587620258331299
2024-07-03 19:30:58.942468,41,1,0.8335590362548828
2024-07-03 19:31:04.152538,42,2,0.8324778079986572
2024-07-03 19:31:09.259190,43,1,0.8844523429870605
2024-07-03 19:31:14.529875,44,3,0.8152036666870117
2024-07-03 19:31:28.927761,45,3,0.9144630432128906
2024-07-03 19:31:43.343590,46,1,0.8273987770080566
2024-07-03 19:31:48.529850,47,2,0.8112084865570068
2024-07-03 19:31:53.631041,48,2,0.8171811103820801
2024-07-03 19:31:58.705228,49,3,0.8517804145812988
2024-07-03 19:32:13.134889,50,3,0.9032280445098877
2024-07-03 19:32:27.559342,51,3,0.8321974277496338
2024-07-03 19:32:46.826204,52,3,0.8603806495666504
2024-07-03 19:33:01.246898,53,3,0.9260177612304688
2024-07-03 19:33:15.649160,54,3,0.8600149154663086
2024-07-03 19:33:30.048077,55,3,0.8144357204437256
2024-07-03 19:35:48.204859,56,1,0.9340622425079346
2024-07-03 19:35:53.440149,57,3,0.9334828853607178
2024-07-03 19:36:07.902558,58,3,0.8490519523620605
2024-07-03 19:36:27.103323,59,3,0.8205506801605225
2024-07-03 19:36:41.508765,60,1,0.8992559909820557
2024-07-03 19:36:46.615509,61,3,0.8643131256103516
2024-07-03 19:37:00.942872,62,1,0.8067770004272461
2024-07-03 19:37:06.108281,63,1,0.846268892288208
2024-07-03 19:37:11.297919,64,3,0.8613839149475098
2024-07-03 19:37:25.643243,65,1,0.916966438293457
2024-07-03 19:37:30.952110,66,1,0.8281881809234619
2024-07-03 19:37:36.145972,67,3,0.8359274864196777
2024-07-03 19:37:50.408616,68,1,0.8461747169494629
2024-07-03 19:37:55.636421,69,1,0.8243184089660645
2024-07-03 19:38:00.721119,70,3,0.8656144142150879
2024-07-03 19:38:15.113047,71,3,0.8357617855072021
2024-07-03 19:39:13.948937,72,1,0.9566662311553955
